reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt;appVersion
26622ea1-b209-4140-a3f2-32803d4a1167;0 16;https://play-lh.googleusercontent.com/a-/ALV-UjVW533uyt2BsarPWro8G1bAPVo7TJJKmUPJ8vXvpNgqpw;"Ngrepotin, ngapain harus ke ducapil segala, kalo verif jga bisa kirim ke email, apa gunanya kalo kayak gitu ngisi email, aneh...";2;0;;09/02/2024 9:03;;;
8a41e2db-8749-46c4-a627-5079a20466c7;1171_ Reswyn;https://play-lh.googleusercontent.com/a-/ALV-UjUmg_tRjyCLGJ3QwRI6AOcdQLPZmxWmysCPGUuLOb44AOc;Ok;3;0;1.2.2;07/06/2023 10:06;;;1.2.2
5ceb2271-4360-45ea-b167-51c2bc9c8d32;18. Muhammad Dimas Adi Saputra;https://play-lh.googleusercontent.com/a-/ALV-UjVhBDxXDFrvJSuE3cIgxPMzOrnK0Sry75tymSw_zNLn8A;"Saya udah memasukan pin dengan benar, tapi kenapa tidak bisa login ya. Saya ingat betul pin nya, bahkan saya catat di kertas note dan juga catatan di hp. Tapi masih gagal masuk, ada yang salah nih....";1;0;1.2.2;18/02/2024 10:01;;;1.2.2
6c07dee6-109a-4000-883d-20520a0f2f8c;218-062 Farellio Fikri A;https://play-lh.googleusercontent.com/a-/ALV-UjU3XC6vMossbVnfbeU61HbFQ-Cn58-t9fMW8XJHXxqhwg;"Permisi : ini nanti terkait info pribadi (privacy) tidak di jual kan ? Untuk keamanan data pribadi bagaimana ya? Bisa di jelaskan terkait hal ini, terus terang kami sebagai rakyat sangat kurang mempercayai terkait kebijakan pemerintahan RI.";1;0;1.2.2;19/03/2024 22:24;;;1.2.2
38e614af-c0c6-4938-ad55-ba9a0bf9cb23;26 MARCHRAY;https://play-lh.googleusercontent.com/a/ACg8ocKefjFypbunShbYGt8_HgJxm2bOe1QF_IHZTn2SmCYp=mo;"Sangat membantu ketika lupa bawa dompet.. Krna sudah ada dompet digital, identitasnya juga harus digital �� Terimakasih�";5;0;;06/06/2023 20:38;;;
40b5d4ba-8685-4e02-8f58-4cc94b0b6854;33 Athiya Izzatul Rania;https://play-lh.googleusercontent.com/a/ACg8ocIP6CrPfEVAHgsDZ4gx2BVdEP3OvKHOZidnv-vqCnmA=mo;aksesnya mudah dan sangat berguna dalam proses administrasi;5;0;1.1.0;20/01/2023 11:21;;;1.1.0
ded631de-6985-42fd-8fc7-9b178bc9535c;4 Sekawan;https://play-lh.googleusercontent.com/a-/ALV-UjVq7RVyVPYbAQpNnGR6cPSoUuh0nS38-bGTPsS44JsM7w0;"Sebuah aplikasi yang seharusnya tidak diluncurkan. Karena ada bnyak bug dan kesalahan. 1. Proses data lemot 2. Tidak bisa unduh file identitas 3. Force close sering 4. Resolusi file identitas burik Sering pelayanan swata lebih baik dari pada negeri. Semoga bisa memperbaiki dan yg paling utama, adanya firewall ketat untuk retasan cyber. Terimakasih";1;276;1.2.2;29/08/2023 11:29;;;1.2.2
d9b3b497-a5a0-445c-b3f1-0ee630ea5a28;7 AN H I D U P;https://play-lh.googleusercontent.com/a-/ALV-UjWpvr9rfU3pX314MV0v8s0mX3nHc_g1Unpb-fWCKP5RiRM;Masih banyak kekurangan.. Terutama pada hp saya yg iphone 14pro max yang kemarin baru saya beli dengan harga 14jtan di toko oren Sekarang saya jg seneng banget foto di depan cermin gatau kenapa;3;0;1.2.2;02/01/2024 3:29;;;1.2.2
0212cd88-7a5d-49a9-a33c-49d5ed5b2516;A Rasit;https://play-lh.googleusercontent.com/a/ACg8ocLZ4iKWlIcKkyhKumKQSy7UVsrSIimhrcxvaP7mMhys=mo;Saya kasih bintang 1 aplikasi loading lama gak jelas. Bikin kesel. Dokmen nya juga gak muncul2 ktp nya Tolong perabik lagi aplikasi ini karena ini masalah idntitas. Bukan aplaksi micet ...;1;0;1.2.2;31/08/2023 9:04;;;1.2.2
67722fb5-b939-4b88-90b3-9c52522fac63;A S;https://play-lh.googleusercontent.com/a/ACg8ocJBJnR66-5AK6E3WFGuW4JM8tFrChYRmU_sv3bPCmCd=mo;"Udah antri di bank, aplikasi malah ga bisa buka";1;0;1.2.2;14/03/2024 11:45;;;1.2.2
